iteration,max_combo_size.train,total_time.train,n_subset_candidates.train,n_subsets_continued.train,max_combo_size.test,total_time.test,n_subset_candidates.test,n_subsets_continued.test
0,14,111.07377505302429,720414,73511,14,106.84214806556702,708560,72682
0,13,97.69138312339783,720414,73511,13,98.23958802223206,708560,72682
0,12,95.72476482391357,720414,73511,12,98.08934116363525,708560,72682
0,11,102.83890986442566,720414,73511,11,128.36763191223145,708560,72682
0,10,111.60311579704285,720414,73511,10,133.94545197486877,708560,72682
0,9,100.91085815429688,720414,73511,9,118.8510229587555,708560,72682
0,8,95.50755405426025,720414,73511,8,94.10818099975586,708560,72682
0,7,114.37635397911072,720414,73511,7,93.45503401756287,708560,72682
0,6,96.58736896514893,720415,73511,6,97.09943985939026,708561,72682
0,5,97.53012800216675,720575,73511,5,89.94871187210083,708696,72682
0,4,95.82048797607422,726353,73511,4,88.02013397216797,713924,72682
0,3,90.17260599136353,927192,73511,3,84.279855966568,919356,72682
0,2,101.28136110305786,6236336,73511,2,94.92055916786194,6312145,72682
1,14,96.63588690757751,717034,75777,14,86.04134893417358,711368,69630
1,13,96.37485790252686,717034,75777,13,86.26506090164185,711368,69630
1,12,97.70561099052429,717034,75777,12,83.38074493408203,711368,69630
1,11,96.37507319450378,717034,75777,11,83.65140199661255,711368,69630
1,10,96.40963292121887,717034,75777,10,84.06688499450684,711368,69630
1,9,99.3833589553833,717034,75777,9,82.96454095840454,711368,69630
1,8,122.92039799690247,717034,75777,8,83.06728100776672,711368,69630
1,7,110.99879002571106,717034,75777,7,83.04843711853027,711368,69630
1,6,98.75496006011963,717035,75777,6,85.13776707649231,711368,69630
1,5,98.50803995132446,717175,75777,5,83.66950392723083,711516,69630
1,4,99.81034588813782,722333,75777,4,81.77164506912231,716672,69630
1,3,98.05912399291992,935526,75777,3,79.25818300247192,908467,69630
1,2,107.80412101745605,6693196,75777,2,87.92864990234375,5940209,69630
2,14,77.5700089931488,690045,65485,14,108.96062707901001,741309,84697
2,13,80.68095517158508,690045,65485,13,107.94007110595703,741309,84697
2,12,77.77984595298767,690045,65485,12,107.4563798904419,741309,84697
2,11,76.78086805343628,690045,65485,11,108.88363409042358,741309,84697
2,10,77.09459114074707,690045,65485,10,107.75444793701172,741309,84697
2,9,76.69222521781921,690045,65485,9,107.6768970489502,741309,84697
2,8,77.89875197410583,690045,65485,8,109.15205001831055,741309,84697
2,7,76.56276202201843,690045,65485,7,107.55931496620178,741309,84697
2,6,76.36680889129639,690046,65485,6,107.35962200164795,741313,84697
2,5,76.65801501274109,690166,65485,5,107.8850269317627,741531,84697
2,4,76.63171005249023,694826,65485,4,105.10334181785583,747541,84697
2,3,73.0424370765686,865403,65485,3,99.91286492347717,990574,84697
2,2,80.67702913284302,5494051,65485,2,114.01853799819946,7548509,84697
3,14,90.87677097320557,722200,74912,14,86.51049399375916,703339,69648
3,13,90.54026818275452,722200,74912,13,88.27679300308228,703339,69648
3,12,91.86779689788818,722200,74912,12,84.91851210594177,703339,69648
3,11,90.73707413673401,722200,74912,11,83.74941205978394,703339,69648
3,10,90.32925009727478,722200,74912,10,83.81154203414917,703339,69648
3,9,91.476233959198,722200,74912,9,83.35620498657227,703339,69648
3,8,90.5412449836731,722200,74912,8,84.7867329120636,703339,69648
3,7,90.51732087135315,722200,74912,7,84.41111207008362,703339,69648
3,6,91.44003391265869,722202,74912,6,83.23287010192871,703340,69648
3,5,90.24828100204468,722374,74912,5,84.47948479652405,703479,69648
3,4,89.31585597991943,727713,74912,4,82.9031810760498,707950,69648
3,3,85.04688882827759,938644,74912,3,78.99614095687866,894496,69648
3,2,96.2365050315857,6439138,74912,2,88.60704708099365,5971104,69648
4,14,94.64618992805481,709408,77053,14,86.4452919960022,719201,69628
4,13,93.125568151474,709408,77053,13,85.24740099906921,719201,69628
4,12,92.77415204048157,709408,77053,12,85.08035898208618,719201,69628
4,11,94.20773792266846,709408,77053,11,86.07065105438232,719201,69628
4,10,93.10250091552734,709408,77053,10,85.42686486244202,719201,69628
4,9,92.85783410072327,709408,77053,9,85.03967618942261,719201,69628
4,8,94.20933318138123,709408,77053,8,85.14158487319946,719201,69628
4,7,93.04687094688416,709408,77053,7,86.24939608573914,719201,69628
4,6,93.20547199249268,709409,77053,6,85.16823410987854,719204,69628
4,5,93.62632513046265,709544,77053,5,85.1196608543396,719314,69628
4,4,91.34097409248352,715273,77053,4,84.9699878692627,724421,69628
4,3,87.13236284255981,930863,77053,3,81.02313899993896,918003,69628
4,2,96.68543910980225,6564454,77053,2,89.20496201515198,6105911,69628
5,14,187.18550992012024,756276,110440,14,88.85941505432129,709451,72044
5,13,187.9106729030609,756276,110440,13,88.26281309127808,709451,72044
5,12,190.26292490959167,756276,110440,12,86.81787705421448,709451,72044
5,11,187.23696184158325,756276,110440,11,87.45580911636353,709451,72044
5,10,186.88667106628418,756276,110440,10,87.51850485801697,709451,72044
5,9,187.10919308662415,756276,110440,9,87.24383211135864,709451,72044
5,8,186.6879141330719,756276,110440,8,87.48946809768677,709451,72044
5,7,183.45096898078918,756276,110440,7,87.04035210609436,709451,72044
5,6,181.77480816841125,756276,110440,6,88.17895293235779,709451,72044
5,5,179.0289750099182,756409,110440,5,86.8557448387146,709565,72044
5,4,175.35623598098755,762070,110440,4,85.78692722320557,714417,72044
5,3,159.3640410900116,1054377,110440,3,83.61994481086731,908847,72044
5,2,169.0207850933075,10241136,110440,2,91.89340877532959,6224553,72044
6,14,128.76036596298218,732851,87552,14,85.87129306793213,709380,71475
6,13,129.54552292823792,732851,87552,13,84.54659104347229,709380,71475
6,12,129.3269100189209,732851,87552,12,85.06910490989685,709380,71475
6,11,130.62016987800598,732851,87552,11,84.84731817245483,709380,71475
6,10,131.63299989700317,732851,87552,10,85.7983329296112,709380,71475
6,9,127.97520685195923,732851,87552,9,84.59063911437988,709380,71475
6,8,130.29364013671875,732851,87552,8,84.58122205734253,709380,71475
6,7,127.1764760017395,732851,87552,7,85.4598159790039,709380,71475
6,6,127.17517614364624,732853,87552,6,84.29804992675781,709384,71475
6,5,124.58028101921082,732960,87552,5,84.48625683784485,709551,71475
6,4,123.65408301353455,738205,87552,4,82.91571092605591,714541,71475
6,3,116.61629796028137,965869,87552,3,80.89249801635742,906024,71475
6,2,124.086660861969,7992968,87552,2,90.00354099273682,6040126,71475
