max_combo_size,total_time,n_subset_candidates,n_subsets_continued
14,490.0249810218811,1665975,299023
13,491.67063903808594,1665975,299023
12,492.2463960647583,1665975,299023
11,492.1541497707367,1665975,299023
10,503.9111678600311,1665975,299023
9,502.46895813941956,1665975,299023
8,505.3633270263672,1665975,299023
7,509.1155250072479,1665975,299023
6,495.6878230571747,1666019,299023
5,488.16491889953613,1667303,299023
4,465.7878270149231,1701725,299023
3,412.140606880188,3165947,299023
2,463.5827751159668,27593726,299023
1,456.2047870159149,27593726,299023
0,464.75935912132263,27593726,299023
